verbatimScientificName,individualCount,decimalLatitude,decimalLongitude,eventDate,day,month,year,stateProvince,week
Hirundo rustica,0.0,7.04717,-73.35864,2021-11-20,20,11,2021,Santander,46
Hirundo rustica,1.0,5.744583,-76.53179,2021-12-27,27,12,2021,Chocó,52
Cardellina canadensis,1.0,6.530664,-73.094604,2021-12-14,14,12,2021,Santander,50
Cardellina canadensis,2.0,4.638395,-75.56861,2021-12-18,18,12,2021,Quindío,50
Cardellina canadensis,3.0,4.630538,-75.63152,2021-12-15,15,12,2021,Quindío,50
Cardellina canadensis,2.0,5.089011,-75.53332,2021-11-15,15,11,2021,Caldas,46
Hirundo rustica,4.0,4.730283,-74.14932,2021-10-15,15,10,2021,Cundinamarca,41
Cardellina canadensis,2.0,5.244679,-76.10055,2021-11-27,27,11,2021,Risaralda,47
Cardellina canadensis,2.0,4.665655,-75.61267,2021-10-09,9,10,2021,Quindío,40
Cardellina canadensis,1.0,1.720132,-76.11933,2021-10-09,9,10,2021,Huila,40
Cardellina canadensis,1.0,7.015796,-72.89569,2021-12-08,8,12,2021,Santander,49
Cardellina canadensis,1.0,4.661049,-74.37045,2021-12-20,20,12,2021,Cundinamarca,51
Cardellina canadensis,1.0,1.886681,-76.26317,2021-10-09,9,10,2021,Huila,40
Cardellina canadensis,1.0,4.312717,-75.87488,2021-12-19,19,12,2021,Valle del Cauca,51
Hirundo rustica,42.0,5.482395,-73.70741,2021-09-13,13,9,2021,Boyacá,37
Cardellina canadensis,1.0,1.878253,-76.20462,2021-12-29,29,12,2021,Huila,52
Cardellina canadensis,1.0,4.702059,-75.53586,2021-12-03,3,12,2021,Risaralda,48
Cardellina canadensis,1.0,5.286833,-74.283195,2021-12-14,14,12,2021,Cundinamarca,50
Cardellina canadensis,1.0,5.348798,-75.77496,2021-12-28,28,12,2021,Risaralda,52
Hirundo rustica,3.0,12.565095,-81.707565,2021-12-24,24,12,2021,San Andrés Providencia y Santa Catalina,51
Cardellina canadensis,3.0,4.576797,-74.3327,2021-04-01,1,4,2021,Cundinamarca,13
Hirundo rustica,10.0,5.910993,-74.64157,2021-12-02,2,12,2021,Antioquia,48
Cardellina canadensis,1.0,6.475016,-75.303764,2021-11-22,22,11,2021,Antioquia,47
Cardellina canadensis,0.0,5.04198,-74.242035,2021-11-30,30,11,2021,Cundinamarca,48
Cardellina canadensis,1.0,3.881944,-76.562416,2021-11-29,29,11,2021,Valle del Cauca,48
Cardellina canadensis,1.0,7.235647,-73.145905,2021-12-20,20,12,2021,Santander,51
Hirundo rustica,6.0,-4.198479,-69.96319,2021-10-09,9,10,2021,Amazonas,40
Cardellina canadensis,1.0,5.018686,-75.40345,2021-11-14,14,11,2021,Caldas,46
Cardellina canadensis,1.0,1.878253,-76.20462,2021-12-29,29,12,2021,Huila,52
Hirundo rustica,2.0,12.521038,-81.71386,2021-10-26,26,10,2021,San Andrés Providencia y Santa Catalina,43
Cardellina canadensis,1.0,6.566514,-75.8096,2021-11-28,28,11,2021,Antioquia,48
Cardellina canadensis,1.0,6.26504,-75.58126,2021-10-03,3,10,2021,Antioquia,40
Cardellina canadensis,1.0,5.020412,-75.4231,2021-11-13,13,11,2021,Caldas,45
Cardellina canadensis,1.0,5.066361,-75.44842,2021-12-27,27,12,2021,Caldas,52
Cardellina canadensis,1.0,2.171401,-75.64453,2021-10-28,28,10,2021,Huila,43
Cardellina canadensis,1.0,4.761416,-74.1027,2021-12-18,18,12,2021,Distrito Capital de Bogotá,50
Cardellina canadensis,1.0,2.075147,-77.0839,2021-11-08,8,11,2021,Cauca,45
Vireo flavoviridis,2.0,11.43491,-73.07337,2021-10-19,19,10,2021,La Guajira,42
Hirundo rustica,4.0,12.504548,-81.72501,2021-10-12,12,10,2021,San Andrés Providencia y Santa Catalina,41
Cardellina canadensis,1.0,4.152831,-73.654724,2021-10-25,25,10,2021,Meta,43
Cardellina canadensis,4.0,6.852191,-73.37682,2021-12-10,10,12,2021,Santander,49
Cardellina canadensis,2.0,5.330149,-74.92023,2021-10-09,9,10,2021,Caldas,40
Cardellina canadensis,0.0,5.93583,-74.86623,2021-11-29,29,11,2021,Antioquia,48
Hirundo rustica,4.0,6.80021,-74.20716,2021-12-23,23,12,2021,Antioquia,51
Cardellina canadensis,2.0,4.323279,-75.70668,2021-12-19,19,12,2021,Quindío,51
Hirundo rustica,20.0,5.490268,-72.93376,2021-10-09,9,10,2021,Boyacá,40
Cardellina canadensis,1.0,3.548972,-76.63003,2021-11-13,13,11,2021,Valle del Cauca,45
Hirundo rustica,1.0,4.552228,-74.17001,2021-12-14,14,12,2021,Distrito Capital de Bogotá,50
Cardellina canadensis,1.0,5.026326,-74.328316,2021-10-29,29,10,2021,Cundinamarca,43
Hirundo rustica,2.0,4.365732,-75.78126,2021-12-19,19,12,2021,Quindío,51
Hirundo rustica,8.0,5.490268,-72.93376,2021-10-09,9,10,2021,Boyacá,40
Hirundo rustica,9.0,3.881371,-76.3509,2021-10-16,16,10,2021,Valle del Cauca,41
Cardellina canadensis,1.0,5.330149,-74.92023,2021-11-27,27,11,2021,Caldas,47
Hirundo rustica,1.0,5.073223,-75.43787,2021-11-25,25,11,2021,Caldas,47
Cardellina canadensis,1.0,6.462698,-73.245346,2021-10-27,27,10,2021,Santander,43
Hirundo rustica,2.0,12.561839,-81.70765,2021-10-14,14,10,2021,San Andrés Providencia y Santa Catalina,41
Cardellina canadensis,2.0,3.548972,-76.63003,2021-12-19,19,12,2021,Valle del Cauca,51
Cardellina canadensis,1.0,4.640633,-75.56674,2021-11-14,14,11,2021,Quindío,46
Hirundo rustica,6.0,6.115839,-77.427986,2021-10-29,29,10,2021,Chocó,43
